product_name,completed_ratio
"Astra Without",0.5
"GreenLeaf Reduce",0.75
"NeoTech Writer",0.45
"Acme Radio",0.1
"NeoTech Provide",0.71
"Solace Actually",0.62
"Astra Congress",0.43
"Astra Book",0.38
"Zenith Like",0.6
"Solace Environmental",0.45
"NeoTech Information",0.6
"Zenith Foreign",0.7
"GreenLeaf Measure",0.54
"Harbor Would",0.6
"Everest According",0.62
"Orion Well",0.55
"Everest End",0.38
"Zenith Friend",0.56
"Orion However",0.29
"NeoTech Interesting",0.38
"Acme Think",0.38
"Acme Practice",0.55
"Orion Size",0.36
"Willow Bit",0.44
"NeoTech Turn",0.78
"Willow Remain",0.62
"Astra Speak",0.33
"Solace Most",0.62
"Orion Pm",0.5
"NeoTech Yourself",0.33
"Solace Serve",0.57
"Willow Result",0.6
"GreenLeaf Land",0.5
"Zenith Appear",0.56
"Orion Begin",0.7
"Pulse Letter",0.75
"Orion Response",0.29
"Orion Strategy",0.4
"Pulse Indeed",0.27
"Pulse For",0.5
"Zenith Guy",0.83
"GreenLeaf Reflect",0.38
"Nimbus When",0.67
"GreenLeaf Lead",0.38
"Nimbus Want",0.4
"Pulse Weight",0.44
"Solace Democratic",0.67
"Harbor Hear",0.5
"Everest Rock",0.62
"Astra Buy",0.67
"Acme Discuss",0.3
"Acme Surface",0.42
"GreenLeaf Newspaper",0.4
"Zenith Nation",0.5
"Acme Figure",0.73
"Acme Arrive",0.44
"Pulse Seem",0.57
"GreenLeaf Bill",0.6
"Pulse Against",0.33
"Zenith Black",0.6
"Acme Night",0.5
"Solace Resource",0.75
"NeoTech Clearly",0.78
"Willow Early",0.56
"Zenith Firm",0.5
"Astra Herself",0.56
"Everest Republican",0.5
"GreenLeaf Produce",0.12
"Harbor Describe",0.5
"Zenith Without",0.64
"Nimbus Raise",0.45
"Acme When",0.62
"Pulse Six",0.7
"Acme Memory",0.7
"Zenith Citizen",0.78
"Orion Moment",0.45
"NeoTech Great",0.31
"Harbor Case",0.27
"Astra Process",0.38
"Willow Forget",0.5
"Harbor Onto",0.44
"Zenith Investment",0.43
"GreenLeaf Major",0.45
"Everest Even",0.78
"Pulse Determine",0.44
"GreenLeaf Own",0.57
"GreenLeaf Interview",0.5
"Zenith Page",0.5
"Astra Finally",0.78
"Acme Wait",0.83
"Harbor Thought",0.55
"Everest Response",0.57
"Nimbus South",0.44
"Acme Group",0
"Orion Vote",0.5
"Solace Never",0.33
"Solace Easy",0.36
"Willow Spring",0.62
"Willow Eye",0.53
"Everest Read",0.55
"Acme Popular",0.67
"Willow Student",0.38
"Nimbus Last",0.57
"Astra Agree",0.62
"Harbor Size",0.44
"Nimbus Our",0.21
"NeoTech Write",0.44
"Harbor Forward",0.55
"Harbor Audience",0.83
"Willow Dark",0.5
"Pulse Reveal",0.71
"Everest Yes",0.5
"NeoTech Food",0.67
"Harbor Foreign",0.71
"Pulse Security",0.33
"Nimbus Sell",0.71
"Acme Room",0.5
"Everest Choose",0.33
"Solace Institution",0.38
"Orion Gas",0.44
"Acme Of",0.64
"Nimbus Affect",0.75
"Acme Financial",0.67
"NeoTech Personal",0.14
"NeoTech Person",0.33
"GreenLeaf Its",0.4
"Solace People",0.55
"Zenith Control",0.57
"Acme Him",0.62
"Astra Remain",0.38
"Nimbus Where",0.69
"NeoTech Leader",0.43
"Everest Single",0.7
"Everest Stop",0.6
"Astra Strong",0.64
