user_id,order_date_flag
U000001,Flag
U000002,Normal
U000003,Flag
U000004,Normal
U000005,Flag
U000006,Flag
U000007,Flag
U000008,Flag
U000009,Flag
U000010,Normal
U000011,Flag
U000012,Flag
U000013,Flag
U000014,Flag
U000015,Flag
U000016,Flag
U000017,Flag
U000018,Flag
U000019,Flag
U000020,Flag
U000021,Flag
U000022,Flag
U000023,Flag
U000024,Flag
U000025,Flag
U000026,Flag
U000027,Flag
U000028,Flag
U000029,Flag
U000030,Flag
U000031,Normal
U000032,Flag
U000033,Flag
U000034,Flag
U000035,Flag
U000036,Normal
U000037,Flag
U000038,Flag
U000039,Flag
U000040,Flag
U000041,Flag
U000042,Flag
U000043,Flag
U000044,Flag
U000045,Flag
U000046,Flag
U000047,Flag
U000048,Flag
U000049,Normal
U000050,Flag
U000051,Flag
U000052,Flag
U000053,Flag
U000054,Flag
U000055,Flag
U000056,Normal
U000057,Normal
U000058,Normal
U000059,Flag
U000060,Flag
U000061,Flag
U000062,Flag
U000063,Flag
U000064,Flag
U000065,Flag
U000066,Flag
U000067,Flag
U000068,Flag
U000069,Flag
U000070,Flag
U000071,Flag
U000072,Normal
U000073,Normal
U000074,Flag
U000075,Flag
U000076,Flag
U000077,Flag
U000078,Flag
U000079,Flag
U000080,Flag
U000081,Flag
U000082,Normal
U000083,Flag
U000084,Flag
U000085,Normal
U000086,Flag
U000087,Flag
U000088,Flag
U000089,Flag
U000090,Flag
U000091,Flag
U000092,Flag
U000093,Flag
U000094,Flag
U000095,Flag
U000096,Normal
U000097,Flag
U000098,Flag
U000099,Flag
U000100,Normal
U000101,Flag
U000102,Flag
U000103,Flag
U000104,Flag
U000105,Flag
U000106,Flag
U000107,Flag
U000108,Flag
U000109,Flag
U000110,Normal
U000111,Flag
U000112,Flag
U000113,Flag
U000114,Flag
U000115,Flag
U000116,Normal
U000117,Normal
U000118,Flag
U000119,Flag
U000120,Flag
U000121,Flag
U000122,Flag
U000123,Normal
U000124,Flag
U000125,Flag
U000126,Flag
U000127,Flag
U000128,Normal
U000129,Flag
U000130,Flag
U000131,Flag
U000132,Flag
U000133,Flag
U000134,Flag
U000135,Normal
U000136,Flag
U000137,Flag
U000138,Flag
U000139,Flag
U000140,Flag
U000141,Flag
U000142,Normal
U000143,Flag
U000144,Flag
U000145,Flag
U000146,Flag
U000147,Flag
U000148,Flag
U000149,Flag
U000150,Flag
U000151,Normal
U000152,Flag
U000153,Normal
U000154,Flag
U000155,Flag
U000156,Flag
U000157,Normal
U000158,Flag
U000159,Flag
U000160,Flag
U000161,Flag
U000162,Flag
U000163,Flag
U000164,Flag
U000165,Flag
U000166,Flag
U000167,Normal
U000168,Flag
U000169,Flag
U000170,Flag
U000171,Flag
U000172,Flag
U000173,Flag
U000174,Flag
U000175,Flag
U000176,Flag
U000177,Flag
U000178,Flag
U000179,Flag
U000180,Normal
U000181,Flag
U000182,Flag
U000183,Flag
U000184,Flag
U000185,Flag
U000186,Flag
U000187,Flag
U000188,Flag
U000189,Flag
U000190,Flag
U000191,Flag
U000192,Flag
U000193,Normal
U000194,Normal
U000195,Flag
U000196,Flag
U000197,Normal
U000198,Flag
U000199,Flag
U000200,Normal
U000201,Flag
U000202,Flag
U000203,Flag
U000204,Flag
U000205,Flag
U000206,Flag
U000207,Flag
U000208,Flag
U000209,Flag
U000210,Flag
U000211,Flag
U000212,Flag
U000213,Flag
U000214,Flag
U000215,Normal
U000216,Flag
U000217,Flag
U000218,Flag
U000219,Normal
U000220,Normal
U000221,Flag
U000222,Flag
U000223,Flag
U000224,Flag
U000225,Flag
U000226,Flag
U000227,Flag
U000228,Flag
U000229,Flag
U000230,Flag
U000231,Flag
U000232,Flag
U000233,Flag
U000234,Flag
U000235,Flag
U000236,Flag
U000237,Flag
U000238,Flag
U000239,Flag
U000240,Flag
U000241,Flag
U000242,Normal
U000243,Flag
U000244,Flag
U000245,Flag
U000246,Flag
U000247,Flag
U000248,Flag
U000249,Flag
U000250,Flag
U000251,Flag
U000252,Flag
U000253,Flag
U000254,Flag
U000255,Normal
U000256,Flag
U000257,Flag
U000258,Flag
U000259,Flag
U000260,Flag
U000261,Normal
U000262,Flag
U000263,Flag
U000264,Flag
U000265,Normal
U000266,Flag
U000267,Flag
U000268,Flag
