product_name,category,product_id,product_count,rating,price
"Pulse Money",Electronics,P000519,38,4.07,769.71
"Everest Response",Clothing,P000762,37,3.87,185.46
"GreenLeaf Rule",Clothing,P001164,36,3.46,18.65
"Harbor Development",Toys,P001354,35,2.93,96.63
"Zenith Environmental",Groceries,P001239,35,3.79,15.79
"GreenLeaf Card","Pet Supplies",P000902,35,4.12,42.91
"Everest She",Books,P001001,35,2.79,25.73
"Zenith Stop","Pet Supplies",P000448,35,2.57,66.33
"Zenith School",Toys,P000007,35,2.61,81.17
"Orion Range",Sports,P000819,35,3.67,159.14
"GreenLeaf Save",Automotive,P000636,35,3.78,94.4
"Zenith Like",Books,P001488,34,3,46.59
"Willow Evening",Toys,P000027,34,2.7,61.59
"Zenith North",Beauty,P000760,34,4.88,20.41
"Zenith Soon",Sports,P000152,34,4.64,299.66
"Zenith Reduce",Books,P001244,34,4.53,25.57
"Acme Then",Clothing,P001772,34,4.07,20.18
"GreenLeaf Move","Home & Kitchen",P000265,34,4.52,163.19
"Everest Parent",Sports,P000650,33,4.24,235.46
"Orion Follow",Automotive,P001499,33,2.85,598.63
"GreenLeaf Major",Books,P001989,33,3.58,61.57
"Everest Family",Automotive,P000767,33,2.61,327.68
"NeoTech Ask","Pet Supplies",P000433,33,3.46,5.28
"Zenith Treatment",Toys,P000515,33,4.74,21.15
"NeoTech Throw",Electronics,P000509,33,3.75,538.42
"Pulse All",Automotive,P001208,33,4.83,600.89
"Everest Sell",Books,P000244,33,4.08,69.29
"Solace Team","Pet Supplies",P000133,33,4.21,25.97
"Solace Street",Beauty,P000248,33,2.51,40.54
"Everest All",Automotive,P001852,33,4.29,643.14
"Harbor National",Clothing,P000825,33,4.35,23.92
"GreenLeaf Eye",Sports,P001654,33,3.53,135.96
"Orion Fund",Beauty,P001466,33,3.29,104.54
"Harbor Wonder",Clothing,P001055,33,4.87,123.01
"Pulse Project","Pet Supplies",P000046,33,4.52,19.09
"Willow Treatment",Automotive,P001794,32,3.89,576.97
"Solace Bill",Beauty,P000251,32,2.71,64.82
"Harbor Opportunity",Books,P000395,32,3.65,56.04
