product_name,product_id,category,price,purchase_or_wishlist
"Astra Pull",P001024,Electronics,2338.13,wishlist
"Orion Group",P000910,Electronics,2337.85,wishlist
"Zenith Phone",P000136,Electronics,2169.98,purchase
"Willow Result",P001527,Electronics,2035.42,purchase
"Astra Owner",P001375,Electronics,1993.95,wishlist
"Nimbus Word",P001183,Electronics,1835.32,purchase
"Acme Group",P000642,Electronics,1816.28,wishlist
"Acme Artist",P001744,Electronics,1797.55,wishlist
"Willow Special",P000021,Electronics,1772.36,wishlist
"Acme Keep",P000681,Electronics,1708.2,"Marginal Difference"
"Nimbus Family",P000461,Electronics,1700.35,wishlist
"Pulse Interesting",P001113,Electronics,1663.12,purchase
"Acme Room",P000315,Electronics,1620.72,purchase
"Everest Push",P000973,Electronics,1603.75,wishlist
"Zenith Their",P001049,Electronics,1599.98,purchase
"Orion Society",P001717,Electronics,1551.98,wishlist
"Willow Note",P000303,Electronics,1535.55,"Marginal Difference"
"Nimbus From",P001630,Electronics,1519.49,"Marginal Difference"
"Acme Information",P000754,Electronics,1511.11,wishlist
"Willow Experience",P001229,Electronics,1477.45,wishlist
"Astra Tough",P001882,Electronics,1463.26,wishlist
"Astra Hundred",P000357,Electronics,1423.47,"Marginal Difference"
"GreenLeaf Later",P000418,Electronics,1413.41,wishlist
"Willow World",P001261,Electronics,1411.81,wishlist
"Acme Of",P000555,Electronics,1407.61,"Marginal Difference"
"Pulse Letter",P000354,Electronics,1387.39,purchase
"Orion Face",P000198,Electronics,1352.63,purchase
"NeoTech Guess",P001900,Electronics,1351.78,wishlist
"Willow Hospital",P001925,Automotive,1340.76,wishlist
"Orion Number",P001143,Electronics,1338.53,"Marginal Difference"
"Acme Best",P001886,Electronics,1325.06,wishlist
"GreenLeaf Road",P000012,Electronics,1299.71,wishlist
"Acme Him",P001012,Electronics,1290.2,wishlist
"Willow Need",P001892,Electronics,1287.95,wishlist
"GreenLeaf System",P001227,Electronics,1260.68,wishlist
"NeoTech Career",P001672,Electronics,1257.52,wishlist
"Nimbus Today",P000745,Electronics,1248.13,"Marginal Difference"
"Zenith Deal",P000298,Electronics,1238.93,wishlist
"Pulse Treat",P000731,Electronics,1236.42,wishlist
"Solace Foreign",P001824,Electronics,1233.6,wishlist
"GreenLeaf Happen",P001248,Electronics,1233.14,wishlist
"Harbor Onto",P001448,Electronics,1226.78,wishlist
"Pulse Would",P001439,Electronics,1221.59,wishlist
"Everest Budget",P001872,Electronics,1217.83,purchase
"Harbor Return",P001504,Electronics,1206.27,wishlist
"NeoTech Bring",P000927,Electronics,1206.17,wishlist
"Nimbus Financial",P000807,Electronics,1205.1,wishlist
"Acme Break",P000274,Electronics,1197.44,wishlist
"Willow Community",P001278,Electronics,1194.94,wishlist
"Nimbus Control",P001653,Electronics,1187.64,wishlist
"Harbor Against",P001125,Electronics,1181.64,"Marginal Difference"
"Solace Ready",P000697,Electronics,1176,wishlist
"Astra Particularly",P001992,Electronics,1166.24,"Marginal Difference"
"Harbor Buy",P000966,Electronics,1151.47,wishlist
"Pulse Rise",P000977,Electronics,1131.3,"Marginal Difference"
"Acme Chance",P001830,Electronics,1127.47,wishlist
"GreenLeaf Stage",P001606,Electronics,1097.96,wishlist
"Nimbus Run",P001316,Electronics,1077.43,wishlist
"Pulse Security",P001036,Electronics,1075.65,"Marginal Difference"
"Pulse Result",P001106,Electronics,1071.83,wishlist
"Willow Spring",P001013,Automotive,1047.18,wishlist
"NeoTech Write",P001961,Electronics,1038.94,"Marginal Difference"
"Everest Bar",P001560,Electronics,1033.13,"Marginal Difference"
"Willow Benefit",P001611,Electronics,1028.88,purchase
"GreenLeaf Goal",P001847,Electronics,1025.31,wishlist
"Pulse Ok",P001508,Electronics,1016.69,wishlist
"Orion Coach",P001859,Electronics,1011.71,purchase
"Acme Account",P000264,Electronics,1006.47,wishlist
"Orion Occur",P001121,Electronics,1003.65,wishlist
"Solace Something",P000358,Electronics,1001.67,wishlist
"Solace Lead",P001493,Electronics,992.56,wishlist
"GreenLeaf Process",P001419,Automotive,990.68,wishlist
"Willow Their",P001707,Electronics,988.62,wishlist
"Astra Act",P001081,Electronics,985.35,wishlist
"Pulse Central",P001781,Electronics,984.2,wishlist
"Everest Black",P000458,Electronics,982.1,"Marginal Difference"
"Orion Get",P000820,Automotive,974.16,wishlist
"Willow Measure",P001706,Electronics,970.1,wishlist
"Astra Book",P001756,Automotive,967.83,wishlist
"Zenith Run",P000174,Electronics,960.74,purchase
"Solace Sound",P001741,Electronics,957.88,wishlist
"Orion International",P001953,Electronics,955.5,"Marginal Difference"
"GreenLeaf Item",P000803,Electronics,953.03,wishlist
"Zenith Happy",P001462,Electronics,951.69,wishlist
"Astra Our",P000055,Electronics,949.73,wishlist
"Astra Thing",P001914,Electronics,948.69,"Marginal Difference"
"Harbor Power",P001497,Electronics,944.56,wishlist
"Harbor Score",P000308,Electronics,930.47,purchase
"Acme Here",P001711,Electronics,929.73,wishlist
"NeoTech Hope",P001629,Electronics,926.42,"Marginal Difference"
"Solace Option",P000651,Automotive,926.15,purchase
"Zenith Control",P000569,Electronics,925.17,"Marginal Difference"
"Everest Also",P001346,Electronics,921,wishlist
"Acme Miss",P001020,Electronics,917.59,wishlist
"Willow Seem",P000273,Automotive,913.33,wishlist
"Everest Deep",P000297,Automotive,902.48,wishlist
"Acme Marriage",P001793,Electronics,896.38,wishlist
"Astra Water",P001117,Automotive,894.8,purchase
"Everest Stop",P001691,Automotive,893.72,wishlist
"Pulse Sea",P000886,Automotive,886.77,wishlist
"Solace Show",P000632,Automotive,874.11,wishlist
"Astra Beyond",P001048,Electronics,871.92,purchase
"Astra Sea",P001987,Automotive,871.03,wishlist
"GreenLeaf Call",P000622,Electronics,865.55,wishlist
"Nimbus Drug",P001305,Automotive,864.19,wishlist
"Pulse Next",P000415,Electronics,861.62,wishlist
"Nimbus Small",P001257,Automotive,854.8,purchase
"Orion Off",P001821,Electronics,852.12,wishlist
"Pulse Lose",P001485,Electronics,850.61,wishlist
"NeoTech Mind",P001724,Electronics,846.61,wishlist
"Zenith Economy",P000051,Electronics,840.01,wishlist
"Harbor Better",P001982,Electronics,835.66,wishlist
"Solace Move",P000208,Automotive,826.18,"Marginal Difference"
"Acme Likely",P001521,Automotive,818.59,wishlist
"Willow Reach",P001173,Electronics,815.47,wishlist
"Solace Make",P001373,Electronics,815.01,purchase
"GreenLeaf End",P001742,Electronics,814.3,wishlist
"Willow Film",P001770,Electronics,811.5,purchase
"Zenith Create",P000114,Electronics,805.15,"Marginal Difference"
"Solace Other",P000070,Electronics,802.45,wishlist
"GreenLeaf Glass",P001731,Electronics,798.6,wishlist
"Everest Nearly",P000193,Automotive,794.73,wishlist
"Astra Plant",P001617,Automotive,788.84,purchase
"Astra Power",P000058,Electronics,788.21,purchase
"Orion Ahead",P001674,Electronics,786.4,wishlist
"Orion Above",P000769,Electronics,775.52,"Marginal Difference"
"Pulse Money",P000519,Electronics,769.71,wishlist
"Astra Measure",P001292,Automotive,763.65,wishlist
"Willow Box",P000181,Automotive,763.34,wishlist
"Willow Mouth",P000385,Electronics,756.87,"Marginal Difference"
"Nimbus Agree",P001500,Automotive,746.51,wishlist
"Pulse Such",P000026,Automotive,742.47,wishlist
"Harbor Visit",P001341,Automotive,741.92,wishlist
"Everest Movie",P001739,Electronics,738.47,purchase
"Orion Owner",P001960,Electronics,738.02,"Marginal Difference"
"Pulse Worry",P001969,Automotive,734.96,wishlist
"Zenith Lawyer",P001613,Automotive,734.26,"Marginal Difference"
"Acme Anyone",P001684,Automotive,728.97,purchase
"Acme American",P000874,Electronics,725.63,wishlist
"Zenith Firm",P001513,Electronics,720.05,wishlist
"Zenith Partner",P001812,Automotive,713.74,purchase
"Orion Debate",P000467,Electronics,712.19,purchase
"Willow We",P001385,Automotive,710.57,wishlist
"NeoTech Purpose",P001641,Automotive,705.88,wishlist
"Nimbus For",P000741,Electronics,704.46,wishlist
"Willow Protect",P001071,Electronics,704.13,wishlist
"NeoTech Weight",P000161,Electronics,701.36,wishlist
"Solace Close",P000961,Automotive,698.45,"Marginal Difference"
"Willow Rich",P001220,Electronics,697.76,wishlist
"Harbor Return",P001146,Electronics,697.07,wishlist
"Nimbus Lawyer",P000267,Automotive,696.74,wishlist
"Willow Even",P001132,Automotive,694.64,wishlist
"Orion Speech",P000323,Electronics,694.32,wishlist
"Harbor Allow",P001197,Electronics,689.05,wishlist
"Astra Likely",P001078,Automotive,687.51,wishlist
"Astra Later",P000945,Automotive,687.01,purchase
"GreenLeaf Plan",P000854,Automotive,685.59,wishlist
"Solace Song",P000814,Electronics,680.15,"Marginal Difference"
"Willow Peace",P001003,Automotive,676.95,wishlist
"Harbor Size",P000664,Automotive,675.42,wishlist
"Acme Democratic",P000887,Automotive,670.63,wishlist
"Harbor Together",P001434,Automotive,669.84,purchase
"GreenLeaf Condition",P000702,Electronics,667.59,wishlist
"Orion Treat",P000256,Automotive,664.92,purchase
"NeoTech Our",P001979,Electronics,662.22,wishlist
"Harbor Cost",P000954,Automotive,661.52,wishlist
"Solace News",P001422,Automotive,660.72,wishlist
"Zenith Rich",P001587,Electronics,658.35,wishlist
"Willow Blood",P000940,Automotive,658.02,wishlist
"GreenLeaf Current",P000950,Automotive,654.76,"Marginal Difference"
"Nimbus Place",P001475,Electronics,651.6,wishlist
"Orion Coach",P000653,Electronics,649.28,"Marginal Difference"
"Everest All",P001852,Automotive,643.14,wishlist
"Nimbus City",P000735,Automotive,639.96,wishlist
"Orion Red",P000660,Automotive,638.51,"Marginal Difference"
"Solace Tv",P001541,Automotive,636.16,wishlist
"Zenith About",P000025,Automotive,631.84,wishlist
"Orion Wrong",P001353,Automotive,631.36,"Marginal Difference"
"Everest Minute",P000235,"Home & Kitchen",628.13,wishlist
"Orion Attack",P001678,Automotive,627.99,wishlist
"Pulse Pm",P001479,Electronics,624.52,wishlist
"Astra Small",P000628,Electronics,612.23,wishlist
"Orion Increase",P001176,Electronics,610.48,"Marginal Difference"
"Nimbus Whose",P000885,Automotive,606.7,wishlist
"Willow Show",P001874,Electronics,605.36,wishlist
"Harbor One",P001700,Automotive,601.59,wishlist
"Pulse All",P001208,Automotive,600.89,purchase
"Orion Follow",P001499,Automotive,598.63,purchase
"Solace Know",P001451,Automotive,598.27,wishlist
"Acme If",P001050,Electronics,598.07,wishlist
"Nimbus Take",P000384,Automotive,596.56,wishlist
"Orion Whatever",P000355,Electronics,577.93,purchase
"Willow Treatment",P001794,Automotive,576.97,"Marginal Difference"
"Everest Miss",P000730,Automotive,570.57,purchase
"Nimbus Process",P000272,Electronics,570.1,wishlist
"Orion Capital",P001840,Electronics,567.39,"Marginal Difference"
"Nimbus Prevent",P001814,Automotive,566.53,wishlist
"NeoTech Laugh",P000993,Electronics,564.72,wishlist
"Nimbus Maintain",P001807,Electronics,557.39,wishlist
"Astra Democrat",P000527,Electronics,554.93,wishlist
"Zenith Color",P000376,Automotive,549.81,wishlist
"Harbor Probably",P000840,Automotive,548.83,wishlist
"Zenith Recently",P000294,Automotive,543.31,purchase
"Solace Glass",P001016,Electronics,542.86,wishlist
"Nimbus Stage",P000682,Automotive,541.92,wishlist
"Nimbus South",P000004,Electronics,541.41,wishlist
"Acme Up",P001057,Automotive,538.47,wishlist
"NeoTech Throw",P000509,Electronics,538.42,"Marginal Difference"
"Solace Really",P000711,Electronics,536.33,wishlist
"Orion Break",P001339,Automotive,535.69,wishlist
"GreenLeaf Or",P001206,Automotive,531.53,purchase
"Harbor Who",P000024,Automotive,529.54,wishlist
"Harbor Tax",P001637,Automotive,529.06,"Marginal Difference"
"GreenLeaf Newspaper",P000225,Electronics,527.87,"Marginal Difference"
"GreenLeaf High",P001133,Electronics,521,"Marginal Difference"
"Zenith Town",P001397,Electronics,513.63,wishlist
"Willow Executive",P001701,Electronics,513.32,wishlist
"Harbor Significant",P001452,"Home & Kitchen",505.82,wishlist
"Everest Possible",P001917,Electronics,503.48,"Marginal Difference"
"Acme Practice",P001855,Automotive,503.43,wishlist
"Harbor Strong",P000659,Automotive,501.37,"Marginal Difference"
"Orion Clearly",P000679,Automotive,496.78,wishlist
"Orion Such",P000134,Automotive,495.76,wishlist
"Pulse Born",P000386,Automotive,495.1,"Marginal Difference"
"Nimbus Hit",P001699,Electronics,494.84,purchase
"Nimbus Yard",P000020,Automotive,492.81,wishlist
"Harbor Picture",P001605,Electronics,492.64,wishlist
"Orion Race",P001822,Automotive,492.48,wishlist
"Solace How",P001259,Electronics,490.48,wishlist
"Nimbus Morning",P001234,Sports,488.59,purchase
"Willow Religious",P000806,Electronics,484.18,wishlist
"Zenith Need",P000834,Electronics,479.8,wishlist
"Harbor Vote",P001762,Electronics,476.36,purchase
"Astra Key",P001484,Electronics,475.65,wishlist
"Zenith Need",P000349,Electronics,474.22,purchase
"Zenith Necessary",P001628,Electronics,473.62,wishlist
"Nimbus Tonight",P001051,Electronics,472.13,"Marginal Difference"
"Nimbus Many",P001240,"Home & Kitchen",470.89,wishlist
"Astra Understand",P000382,Automotive,466.25,wishlist
"GreenLeaf A",P000908,Electronics,462.76,"Marginal Difference"
